"","state","cases","deaths","state.rate"
"1","Alabama",545028,11188,2.05
"2","Alaska",69826,352,0.5
"3","Arizona",882691,17653,2
"4","Arkansas",341889,5842,1.71
"5","California",3793055,63345,1.67
"6","Colorado",547961,6746,1.23
"7","Connecticut",347748,8245,2.37
"8","Delaware",108957,1668,1.53
"9","District of Columbia",49041,1136,2.32
"10","Florida",2329859,36972,1.59
"11","Georgia",1100366,20238,1.84
"12","Guam",9162,140,1.53
"13","Hawaii",35152,498,1.42
"14","Idaho",192704,2103,1.09
"15","Illinois",1387795,25265,1.82
"16","Indiana",749027,13657,1.82
"17","Iowa",371761,6065,1.63
"18","Kansas",316287,5115,1.62
"19","Kentucky",461055,7127,1.55
"20","Louisiana",472617,10605,2.24
"21","Maine",67986,837,1.23
"22","Maryland",460406,9626,2.09
"23","Massachusetts",707523,17893,2.53
"24","Michigan",992221,20470,2.06
"25","Minnesota",601974,7530,1.25
"26","Mississippi",318048,7324,2.3
"27","Missouri",616864,9718,1.58
"28","Montana",112236,1627,1.45
"29","Nebraska",223517,2385,1.07
"30","Nevada",325031,5599,1.72
"31","New Hampshire",98840,1354,1.37
"32","New Jersey",1017044,26253,2.58
"33","New Mexico",203330,4275,2.1
"34","New York",2102003,52811,2.51
"35","North Carolina",1004699,13147,1.31
"36","North Dakota",110129,1546,1.4
"37","Northern Mariana Islands",183,2,1.09
"38","Ohio",1103380,19923,1.81
"39","Oklahoma",453400,7316,1.61
"40","Oregon",202286,2711,1.34
"41","Pennsylvania",1208879,27349,2.26
"42","Puerto Rico",172414,NA,NA
"43","Rhode Island",151936,2715,1.79
"44","South Carolina",593628,9739,1.64
"45","South Dakota",124242,2020,1.63
"46","Tennessee",849162,12372,1.46
"47","Texas",2957710,51798,1.75
"48","Utah",406895,2308,0.57
"49","Vermont",24240,255,1.05
"50","Virgin Islands",3512,28,0.8
"51","Virginia",676041,11216,1.66
"52","Washington",440486,5866,1.33
"53","West Virginia",162111,2807,1.73
"54","Wisconsin",675152,7923,1.17
"55","Wyoming",60543,720,1.19
